,level_0,index,file_id,api,rank,operation,segment,offset,size,start,end,duration
0,0,41,418707678782925176,POSIX,0,open,0,0,0.0,0.3763000965118408,0.37689995765686035,0.5998611450195312
1,1,40,418707678782925176,POSIX,0,stat,0,0,0.0,0.37890005111694336,0.37890005111694336,0.0
2,2,0,418707678782925176,POSIX,0,write,0,0,9.6e-05,0.3789999485015869,0.38089990615844727,1.8999576568603516
3,3,55,3320158294605273525,POSIX,0,open,0,0,0.0,0.39030003547668457,0.3910999298095703,0.7998943328857422
4,4,54,3320158294605273525,POSIX,0,stat,0,0,0.0,0.3926999568939209,0.3926999568939209,0.0
5,5,43,3320158294605273525,POSIX,0,write,0,0,9.6e-05,0.39280009269714355,0.3947000503540039,1.8999576568603516
6,6,51,3320158294605273525,POSIX,0,read,0,4096,0.0,0.39590001106262207,0.39590001106262207,0.0
7,7,44,3320158294605273525,POSIX,0,write,1,4096,0.023232,0.3961000442504883,0.39619994163513184,0.09989738464355469
8,8,52,3320158294605273525,POSIX,0,read,1,27328,0.0,0.3966999053955078,0.39680004119873047,0.10013580322265625
9,9,45,3320158294605273525,POSIX,0,write,2,27328,0.023232,0.396899938583374,0.3970000743865967,0.10013580322265625
10,10,53,3320158294605273525,POSIX,0,read,2,50560,0.0,0.39730000495910645,0.39739990234375,0.09989738464355469
11,11,46,3320158294605273525,POSIX,0,write,3,50560,0.023232,0.39750003814697266,0.3975999355316162,0.09989738464355469
12,12,48,3320158294605273525,POSIX,0,write,5,800,0.003072,0.3977999687194824,0.3977999687194824,0.0
13,13,47,3320158294605273525,POSIX,0,write,4,96,0.000696,0.3977999687194824,0.3977999687194824,0.0
14,14,49,3320158294605273525,POSIX,0,write,6,0,9.6e-05,0.3979001045227051,0.3979001045227051,0.0
15,15,56,3320158294605273525,POSIX,0,close,0,0,0.0,0.39800000190734863,0.39930009841918945,1.3000965118408203
16,16,50,3320158294605273525,POSIX,0,write,7,0,9.6e-05,0.39800000190734863,0.39800000190734863,0.0
17,17,1,418707678782925176,POSIX,0,write,1,2432,0.032768,0.40310001373291016,0.40330004692077637,0.20003318786621094
18,18,2,418707678782925176,POSIX,0,write,2,37248,0.032768,0.4033999443054199,0.4035000801086426,0.10013580322265625
19,19,3,418707678782925176,POSIX,0,write,3,70016,0.032768,0.40359997749328613,0.4037001132965088,0.10013580322265625
20,20,4,418707678782925176,POSIX,0,write,4,102784,0.032768,0.40380001068115234,0.4038999080657959,0.09989738464355469
