,level_0,index,file_id,api,rank,operation,segment,offset,size,start,end,duration
0,0,41,418707678782925176,POSIX,0,open,0,0,0.0,0.37870001792907715,0.3793001174926758,0.6000995635986328
1,1,40,418707678782925176,POSIX,0,stat,0,0,0.0,0.38140010833740234,0.38140010833740234,0.0
2,2,0,418707678782925176,POSIX,0,write,0,0,9.6e-05,0.3815000057220459,0.3828999996185303,1.399993896484375
3,3,55,3320158294605273525,POSIX,0,open,0,0,0.0,0.3901998996734619,0.39100003242492676,0.8001327514648438
4,4,54,3320158294605273525,POSIX,0,stat,0,0,0.0,0.3924999237060547,0.3924999237060547,0.0
5,5,43,3320158294605273525,POSIX,0,write,0,0,9.6e-05,0.39260005950927734,0.3940999507904053,1.4998912811279297
6,6,51,3320158294605273525,POSIX,0,read,0,4096,0.0,0.39529991149902344,0.3954000473022461,0.10013580322265625
7,7,44,3320158294605273525,POSIX,0,write,1,4096,0.023232,0.3956000804901123,0.39569997787475586,0.09989738464355469
8,8,52,3320158294605273525,POSIX,0,read,1,27328,0.0,0.39619994163513184,0.39619994163513184,0.0
9,9,45,3320158294605273525,POSIX,0,write,2,27328,0.023232,0.39639997482299805,0.3965001106262207,0.10013580322265625
10,10,53,3320158294605273525,POSIX,0,read,2,50560,0.0,0.39680004119873047,0.39680004119873047,0.0
11,11,46,3320158294605273525,POSIX,0,write,3,50560,0.023232,0.3970000743865967,0.39709997177124023,0.09989738464355469
12,12,47,3320158294605273525,POSIX,0,write,4,96,0.000696,0.3972001075744629,0.3972001075744629,0.0
13,13,48,3320158294605273525,POSIX,0,write,5,800,0.003072,0.39730000495910645,0.39730000495910645,0.0
14,14,49,3320158294605273525,POSIX,0,write,6,0,9.6e-05,0.39730000495910645,0.39730000495910645,0.0
15,15,56,3320158294605273525,POSIX,0,close,0,0,0.0,0.39750003814697266,0.39890003204345703,1.399993896484375
16,16,50,3320158294605273525,POSIX,0,write,7,0,9.6e-05,0.39750003814697266,0.39750003814697266,0.0
17,17,1,418707678782925176,POSIX,0,write,1,2432,0.032768,0.4026000499725342,0.4028000831604004,0.20003318786621094
18,18,2,418707678782925176,POSIX,0,write,2,37248,0.032768,0.40289998054504395,0.4030001163482666,0.10013580322265625
19,19,3,418707678782925176,POSIX,0,write,3,70016,0.032768,0.40310001373291016,0.4031999111175537,0.09989738464355469
20,20,4,418707678782925176,POSIX,0,write,4,102784,0.032768,0.40330004692077637,0.4033999443054199,0.09989738464355469
21,21,5,418707678782925176,POSIX,0,write,5,135552,0.032768,0.40359997749328613,0.4037001132965088,0.10013580322265625
22,22,6,418707678782925176,POSIX,0,write,6,168320,0.032768,0.40380001068115234,0.4038999080657959,0.09989738464355469
23,23,7,418707678782925176,POSIX,0,write,7,201088,0.032768,0.4042999744415283,0.404400110244751,0.10013580322265625
24,24,8,418707678782925176,POSIX,0,write,8,235904,0.013824,0.40470004081726074,0.40470004081726074,0.0
25,25,9,418707678782925176,POSIX,0,write,9,249728,0.013824,0.4047999382019043,0.40490007400512695,0.10013580322265625
26,26,10,418707678782925176,POSIX,0,write,10,263552,0.013824,0.4049999713897705,0.40510010719299316,0.10013580322265625
27,27,11,418707678782925176,POSIX,0,write,11,277376,0.013824,0.4052000045776367,0.4052000045776367,0.0
28,28,12,418707678782925176,POSIX,0,write,12,293248,0.013824,0.40540003776550293,0.40540003776550293,0.0
29,29,13,418707678782925176,POSIX,0,write,13,307072,0.013824,0.4054999351501465,0.40560007095336914,0.10013580322265625
30,30,14,418707678782925176,POSIX,0,write,14,320896,0.013824,0.40580010414123535,0.4059000015258789,0.09989738464355469
31,31,15,418707678782925176,POSIX,0,write,15,336768,0.110592,0.4061000347137451,0.4063999652862549,0.2999305725097656
32,32,16,418707678782925176,POSIX,0,write,16,447360,0.110592,0.40650010108947754,0.40669989585876465,0.19979476928710938
33,33,17,418707678782925176,POSIX,0,write,17,557952,0.110592,0.40689992904663086,0.40709996223449707,0.20003318786621094
34,34,18,418707678782925176,POSIX,0,write,18,668544,0.110592,0.4072000980377197,0.40739989280700684,0.19979476928710938
35,35,19,418707678782925176,POSIX,0,write,19,779136,0.110592,0.4075000286102295,0.40779995918273926,0.2999305725097656
36,36,20,418707678782925176,POSIX,0,write,20,889728,0.110592,0.4079000949859619,0.408099889755249,0.19979476928710938
37,37,21,418707678782925176,POSIX,0,write,21,1000320,0.110592,0.40919995307922363,0.4094998836517334,0.2999305725097656
38,38,22,418707678782925176,POSIX,0,write,22,1112960,0.681472,0.41050004959106445,0.41160011291503906,1.1000633239746094
39,39,23,418707678782925176,POSIX,0,write,23,1794432,0.681472,0.4119999408721924,0.413100004196167,1.1000633239746094
40,40,24,418707678782925176,POSIX,0,write,24,2475904,0.681472,0.4135000705718994,0.4145998954772949,1.0998249053955078
41,41,25,418707678782925176,POSIX,0,write,25,3157376,0.681472,0.41499996185302734,0.4159998893737793,0.9999275207519531
42,42,26,418707678782925176,POSIX,0,write,26,3840896,0.681472,0.4163999557495117,0.41720008850097656,0.8001327514648438
43,43,27,418707678782925176,POSIX,0,write,27,4522368,0.681472,0.41739988327026367,0.41829991340637207,0.9000301361083984
44,44,28,418707678782925176,POSIX,0,write,28,5203840,0.681472,0.42170000076293945,0.4224998950958252,0.7998943328857422
45,45,29,418707678782925176,POSIX,0,write,29,96,0.0014,0.4226999282836914,0.5229001045227051,100.20017623901367
46,47,31,418707678782925176,POSIX,0,write,31,35200,0.002016,0.5230000019073486,0.5230998992919922,0.09989738464355469
47,46,30,418707678782925176,POSIX,0,write,30,1504,0.000928,0.5230000019073486,0.5230000019073486,0.0
48,48,32,418707678782925176,POSIX,0,write,32,233856,0.00204,0.5230998992919922,0.5232000350952148,0.10013580322265625
49,49,34,418707678782925176,POSIX,0,write,34,292680,0.000544,0.5232000350952148,0.5232000350952148,0.0
50,50,33,418707678782925176,POSIX,0,write,33,291200,0.001392,0.5232000350952148,0.5232000350952148,0.0
51,51,36,418707678782925176,POSIX,0,write,36,1110912,0.00196,0.5232999324798584,0.523400068283081,0.10013580322265625
52,52,35,418707678782925176,POSIX,0,write,35,334720,0.002016,0.5232999324798584,0.5232999324798584,0.0
53,53,38,418707678782925176,POSIX,0,write,38,0,9.6e-05,0.523400068283081,0.523400068283081,0.0
54,54,37,418707678782925176,POSIX,0,write,37,3838848,0.002032,0.523400068283081,0.523400068283081,0.0
55,56,39,418707678782925176,POSIX,0,write,39,0,9.6e-05,0.5236001014709473,0.5236001014709473,0.0
56,55,42,418707678782925176,POSIX,0,close,0,0,0.0,0.5236001014709473,0.5253000259399414,1.6999244689941406
57,57,98,13921824653314321648,POSIX,0,open,0,0,0.0,5.941900014877319,5.943399906158447,1.4998912811279297
58,58,97,13921824653314321648,POSIX,0,stat,0,0,0.0,5.945300102233887,5.945300102233887,0.0
59,59,57,13921824653314321648,POSIX,0,write,0,0,9.6e-05,5.94539999961853,5.947000026702881,1.600027084350586
60,60,112,4038320303294014677,POSIX,0,open,0,0,0.0,5.954999923706055,5.955699920654297,0.6999969482421875
61,61,111,4038320303294014677,POSIX,0,stat,0,0,0.0,5.95740008354187,5.95740008354187,0.0
62,62,100,4038320303294014677,POSIX,0,write,0,0,9.6e-05,5.95740008354187,5.95959997177124,2.199888229370117
63,63,108,4038320303294014677,POSIX,0,read,0,4096,0.0,5.960099935531616,5.960200071334839,0.10013580322265625
64,64,101,4038320303294014677,POSIX,0,write,1,4096,0.023232,5.960299968719482,5.960400104522705,0.10013580322265625
65,65,109,4038320303294014677,POSIX,0,read,1,27328,0.0,5.960799932479858,5.960799932479858,0.0
66,66,102,4038320303294014677,POSIX,0,write,2,27328,0.023232,5.960999965667725,5.961100101470947,0.10013580322265625
67,67,110,4038320303294014677,POSIX,0,read,2,50560,0.0,5.961400032043457,5.961400032043457,0.0
68,68,103,4038320303294014677,POSIX,0,write,3,50560,0.023232,5.961600065231323,5.961600065231323,0.0
69,69,104,4038320303294014677,POSIX,0,write,4,96,0.000696,5.961699962615967,5.961699962615967,0.0
70,70,107,4038320303294014677,POSIX,0,write,7,0,9.6e-05,5.9618000984191895,5.961899995803833,0.09989738464355469
71,71,105,4038320303294014677,POSIX,0,write,5,800,0.003072,5.9618000984191895,5.9618000984191895,0.0
72,72,106,4038320303294014677,POSIX,0,write,6,0,9.6e-05,5.9618000984191895,5.9618000984191895,0.0
73,73,113,4038320303294014677,POSIX,0,close,0,0,0.0,5.961899995803833,5.963299989700317,1.399993896484375
74,74,58,13921824653314321648,POSIX,0,write,1,2432,0.032768,5.966900110244751,5.9670000076293945,0.09989738464355469
75,75,59,13921824653314321648,POSIX,0,write,2,37248,0.032768,5.967099905014038,5.967200040817261,0.10013580322265625
76,76,60,13921824653314321648,POSIX,0,write,3,70016,0.032768,5.967299938201904,5.967400074005127,0.10013580322265625
77,77,61,13921824653314321648,POSIX,0,write,4,102784,0.032768,5.9674999713897705,5.967600107192993,0.10013580322265625
78,78,62,13921824653314321648,POSIX,0,write,5,135552,0.032768,5.96779990196228,5.967900037765503,0.10013580322265625
79,79,63,13921824653314321648,POSIX,0,write,6,168320,0.032768,5.9679999351501465,5.968100070953369,0.10013580322265625
80,80,64,13921824653314321648,POSIX,0,write,7,201088,0.032768,5.9684998989105225,5.968600034713745,0.10013580322265625
81,81,65,13921824653314321648,POSIX,0,write,8,235904,0.032768,5.968800067901611,5.968899965286255,0.09989738464355469
82,82,66,13921824653314321648,POSIX,0,write,9,268672,0.032768,5.9690001010894775,5.969099998474121,0.09989738464355469
83,83,67,13921824653314321648,POSIX,0,write,10,301440,0.032768,5.969300031661987,5.969399929046631,0.09989738464355469
84,84,68,13921824653314321648,POSIX,0,write,11,334208,0.032768,5.9695000648498535,5.969599962234497,0.09989738464355469
85,85,69,13921824653314321648,POSIX,0,write,12,369024,0.032768,5.96970009803772,5.969799995422363,0.09989738464355469
86,86,70,13921824653314321648,POSIX,0,write,13,401792,0.032768,5.969899892807007,5.9700000286102295,0.10013580322265625
87,87,71,13921824653314321648,POSIX,0,write,14,434560,0.032768,5.970400094985962,5.9704999923706055,0.09989738464355469
88,88,72,13921824653314321648,POSIX,0,write,15,469376,0.110592,5.970799922943115,5.9709999561309814,0.20003318786621094
89,89,73,13921824653314321648,POSIX,0,write,16,579968,0.110592,5.971100091934204,5.971400022506714,0.2999305725097656
90,90,74,13921824653314321648,POSIX,0,write,17,690560,0.110592,5.971499919891357,5.971699953079224,0.20003318786621094
91,91,75,13921824653314321648,POSIX,0,write,18,801152,0.110592,5.971800088882446,5.971999883651733,0.19979476928710938
92,92,76,13921824653314321648,POSIX,0,write,19,911744,0.110592,5.9721999168396,5.972399950027466,0.20003318786621094
93,93,77,13921824653314321648,POSIX,0,write,20,1022336,0.110592,5.9725000858306885,5.972700119018555,0.20003318786621094
94,94,78,13921824653314321648,POSIX,0,write,21,1132928,0.110592,5.973599910736084,5.97379994392395,0.20003318786621094
95,95,79,13921824653314321648,POSIX,0,write,22,1245568,0.512,5.974299907684326,5.975100040435791,0.8001327514648438
96,96,80,13921824653314321648,POSIX,0,write,23,1757568,0.512,5.975399971008301,5.976300001144409,0.9000301361083984
97,97,81,13921824653314321648,POSIX,0,write,24,2269568,0.512,5.976599931716919,5.977400064468384,0.8001327514648438
98,98,82,13921824653314321648,POSIX,0,write,25,2781568,0.512,5.97760009765625,5.9781999588012695,0.5998611450195312
99,99,83,13921824653314321648,POSIX,0,write,26,3295616,0.512,5.978499889373779,5.979099988937378,0.6000995635986328
100,100,84,13921824653314321648,POSIX,0,write,27,3807616,0.512,5.979300022125244,5.979899883270264,0.5998611450195312
101,101,85,13921824653314321648,POSIX,0,write,28,4319616,0.512,5.981800079345703,5.982399940490723,0.5998611450195312
102,102,86,13921824653314321648,POSIX,0,write,29,96,0.0014,5.982599973678589,6.286099910736084,303.4999370574951
103,103,88,13921824653314321648,POSIX,0,write,31,35200,0.002016,6.286200046539307,6.28629994392395,0.09989738464355469
104,104,87,13921824653314321648,POSIX,0,write,30,1504,0.000928,6.286200046539307,6.286200046539307,0.0
105,105,89,13921824653314321648,POSIX,0,write,32,233856,0.00204,6.28629994392395,6.286400079727173,0.10013580322265625
106,106,91,13921824653314321648,POSIX,0,write,34,368456,0.000544,6.286400079727173,6.286400079727173,0.0
107,107,90,13921824653314321648,POSIX,0,write,33,366976,0.001392,6.286400079727173,6.286400079727173,0.0
108,108,93,13921824653314321648,POSIX,0,write,36,1243520,0.00196,6.286499977111816,6.286600112915039,0.10013580322265625
109,109,92,13921824653314321648,POSIX,0,write,35,467328,0.002016,6.286499977111816,6.286499977111816,0.0
110,111,94,13921824653314321648,POSIX,0,write,37,3293568,0.002032,6.286600112915039,6.286600112915039,0.0
111,110,95,13921824653314321648,POSIX,0,write,38,0,9.6e-05,6.286600112915039,6.286600112915039,0.0
112,112,96,13921824653314321648,POSIX,0,write,39,0,9.6e-05,6.286799907684326,6.286799907684326,0.0
113,113,99,13921824653314321648,POSIX,0,close,0,0,0.0,6.286799907684326,6.288399934768677,1.600027084350586
114,114,155,10947382715019550066,POSIX,0,open,0,0,0.0,11.661400079727173,11.661999940872192,0.5998611450195312
115,115,154,10947382715019550066,POSIX,0,stat,0,0,0.0,11.66380000114441,11.66380000114441,0.0
116,116,114,10947382715019550066,POSIX,0,write,0,0,9.6e-05,11.663899898529053,11.665800094604492,1.9001960754394531
117,117,169,11192705693094009896,POSIX,0,open,0,0,0.0,11.672600030899048,11.673199892044067,0.5998611450195312
118,118,168,11192705693094009896,POSIX,0,stat,0,0,0.0,11.674999952316284,11.675100088119507,0.10013580322265625
119,119,157,11192705693094009896,POSIX,0,write,0,0,9.6e-05,11.675100088119507,11.676599979400635,1.4998912811279297
120,120,165,11192705693094009896,POSIX,0,read,0,4096,0.0,11.676899909973145,11.676899909973145,0.0
121,121,158,11192705693094009896,POSIX,0,write,1,4096,0.023232,11.677000045776367,11.67709994316101,0.09989738464355469
122,122,166,11192705693094009896,POSIX,0,read,1,27328,0.0,11.677299976348877,11.677299976348877,0.0
123,123,159,11192705693094009896,POSIX,0,write,2,27328,0.023232,11.6774001121521,11.677500009536743,0.09989738464355469
124,124,167,11192705693094009896,POSIX,0,read,2,50560,0.0,11.677599906921387,11.67770004272461,0.10013580322265625
125,125,160,11192705693094009896,POSIX,0,write,3,50560,0.023232,11.67770004272461,11.677799940109253,0.09989738464355469
126,126,161,11192705693094009896,POSIX,0,write,4,96,0.000696,11.677799940109253,11.677799940109253,0.0
127,130,170,11192705693094009896,POSIX,0,close,0,0,0.0,11.677900075912476,11.68149995803833,3.599882125854492
128,129,164,11192705693094009896,POSIX,0,write,7,0,9.6e-05,11.677900075912476,11.677900075912476,0.0
129,128,162,11192705693094009896,POSIX,0,write,5,800,0.003072,11.677900075912476,11.677900075912476,0.0
130,127,163,11192705693094009896,POSIX,0,write,6,0,9.6e-05,11.677900075912476,11.677900075912476,0.0
131,131,115,10947382715019550066,POSIX,0,write,1,2432,0.032768,11.68560004234314,11.685800075531006,0.20003318786621094
132,132,116,10947382715019550066,POSIX,0,write,2,37248,0.032768,11.68589997291565,11.686000108718872,0.10013580322265625
133,133,117,10947382715019550066,POSIX,0,write,3,70016,0.032768,11.686100006103516,11.686300039291382,0.20003318786621094
134,134,118,10947382715019550066,POSIX,0,write,4,102784,0.032768,11.686399936676025,11.686500072479248,0.10013580322265625
135,135,119,10947382715019550066,POSIX,0,write,5,135552,0.032768,11.686599969863892,11.686700105667114,0.10013580322265625
136,136,120,10947382715019550066,POSIX,0,write,6,168320,0.032768,11.686800003051758,11.686899900436401,0.09989738464355469
137,137,121,10947382715019550066,POSIX,0,write,7,201088,0.032768,11.687299966812134,11.687400102615356,0.10013580322265625
138,138,122,10947382715019550066,POSIX,0,write,8,235904,0.032768,11.687700033187866,11.68779993057251,0.09989738464355469
139,139,123,10947382715019550066,POSIX,0,write,9,268672,0.032768,11.687900066375732,11.687999963760376,0.09989738464355469
140,140,124,10947382715019550066,POSIX,0,write,10,301440,0.032768,11.688100099563599,11.688199996948242,0.09989738464355469
141,141,125,10947382715019550066,POSIX,0,write,11,334208,0.032768,11.688299894332886,11.688400030136108,0.10013580322265625
142,142,126,10947382715019550066,POSIX,0,write,12,369024,0.032768,11.688499927520752,11.688600063323975,0.10013580322265625
143,143,127,10947382715019550066,POSIX,0,write,13,401792,0.032768,11.688699960708618,11.68880009651184,0.10013580322265625
144,144,128,10947382715019550066,POSIX,0,write,14,434560,0.032768,11.689199924468994,11.689300060272217,0.10013580322265625
145,145,129,10947382715019550066,POSIX,0,write,15,469376,0.110592,11.689500093460083,11.689800024032593,0.2999305725097656
146,146,130,10947382715019550066,POSIX,0,write,16,579968,0.110592,11.689899921417236,11.690099954605103,0.20003318786621094
147,147,131,10947382715019550066,POSIX,0,write,17,690560,0.110592,11.690299987792969,11.690500020980835,0.20003318786621094
148,148,132,10947382715019550066,POSIX,0,write,18,801152,0.110592,11.690599918365479,11.690799951553345,0.20003318786621094
149,149,133,10947382715019550066,POSIX,0,write,19,911744,0.110592,11.690900087356567,11.691200017929077,0.2999305725097656
150,150,134,10947382715019550066,POSIX,0,write,20,1022336,0.110592,11.69129991531372,11.691499948501587,0.20003318786621094
151,151,135,10947382715019550066,POSIX,0,write,21,1132928,0.110592,11.692399978637695,11.692600011825562,0.20003318786621094
152,152,136,10947382715019550066,POSIX,0,write,22,1245568,0.512,11.693000078201294,11.693900108337402,0.9000301361083984
153,153,137,10947382715019550066,POSIX,0,write,23,1757568,0.512,11.694200038909912,11.694999933242798,0.7998943328857422
154,154,138,10947382715019550066,POSIX,0,write,24,2269568,0.512,11.695300102233887,11.696099996566772,0.7998943328857422
155,155,139,10947382715019550066,POSIX,0,write,25,2781568,0.512,11.696500062942505,11.69729995727539,0.7998943328857422
156,156,140,10947382715019550066,POSIX,0,write,26,3295616,0.512,11.6975998878479,11.698400020599365,0.8001327514648438
157,157,141,10947382715019550066,POSIX,0,write,27,3807616,0.512,11.698800086975098,11.700400114059448,1.600027084350586
158,158,142,10947382715019550066,POSIX,0,write,28,4319616,0.512,11.703399896621704,11.704200029373169,0.8001327514648438
159,159,143,10947382715019550066,POSIX,0,write,29,96,0.0014,11.704499959945679,11.998199939727783,293.6999797821045
160,160,144,10947382715019550066,POSIX,0,write,30,1504,0.000928,11.998300075531006,11.998300075531006,0.0
161,161,145,10947382715019550066,POSIX,0,write,31,35200,0.002016,11.998300075531006,11.99839997291565,0.09989738464355469
162,162,146,10947382715019550066,POSIX,0,write,32,233856,0.00204,11.99839997291565,11.998500108718872,0.10013580322265625
163,163,147,10947382715019550066,POSIX,0,write,33,366976,0.001392,11.998500108718872,11.998500108718872,0.0
164,164,148,10947382715019550066,POSIX,0,write,34,368456,0.000544,11.998500108718872,11.998600006103516,0.09989738464355469
165,165,149,10947382715019550066,POSIX,0,write,35,467328,0.002016,11.998600006103516,11.998600006103516,0.0
166,166,150,10947382715019550066,POSIX,0,write,36,1243520,0.00196,11.998600006103516,11.99869990348816,0.09989738464355469
167,168,151,10947382715019550066,POSIX,0,write,37,3293568,0.002032,11.99869990348816,11.99869990348816,0.0
168,167,152,10947382715019550066,POSIX,0,write,38,0,9.6e-05,11.99869990348816,11.99869990348816,0.0
169,169,153,10947382715019550066,POSIX,0,write,39,0,9.6e-05,11.998899936676025,11.998899936676025,0.0
170,170,156,10947382715019550066,POSIX,0,close,0,0,0.0,11.998899936676025,12.000799894332886,1.8999576568603516
171,171,212,13529234925354641907,POSIX,0,open,0,0,0.0,17.378400087356567,17.378999948501587,0.5998611450195312
172,172,211,13529234925354641907,POSIX,0,stat,0,0,0.0,17.38070011138916,17.380800008773804,0.09989738464355469
173,173,171,13529234925354641907,POSIX,0,write,0,0,9.6e-05,17.380800008773804,17.382400035858154,1.600027084350586
174,174,226,7461167020775170949,POSIX,0,open,0,0,0.0,17.590399980545044,17.591300010681152,0.9000301361083984
175,175,225,7461167020775170949,POSIX,0,stat,0,0,0.0,17.59310007095337,17.593199968338013,0.09989738464355469
176,176,214,7461167020775170949,POSIX,0,write,0,0,9.6e-05,17.593199968338013,17.594799995422363,1.600027084350586
177,177,222,7461167020775170949,POSIX,0,read,0,4096,0.0,17.595200061798096,17.59529995918274,0.09989738464355469
178,178,215,7461167020775170949,POSIX,0,write,1,4096,0.023232,17.595499992370605,17.59559988975525,0.09989738464355469
179,179,223,7461167020775170949,POSIX,0,read,1,27328,0.0,17.595900058746338,17.595900058746338,0.0
180,180,216,7461167020775170949,POSIX,0,write,2,27328,0.023232,17.596100091934204,17.596199989318848,0.09989738464355469
181,181,224,7461167020775170949,POSIX,0,read,2,50560,0.0,17.596499919891357,17.596499919891357,0.0
182,182,217,7461167020775170949,POSIX,0,write,3,50560,0.023232,17.596699953079224,17.596800088882446,0.10013580322265625
183,183,218,7461167020775170949,POSIX,0,write,4,96,0.000696,17.596800088882446,17.596800088882446,0.0
184,185,220,7461167020775170949,POSIX,0,write,6,0,9.6e-05,17.59689998626709,17.59689998626709,0.0
185,184,219,7461167020775170949,POSIX,0,write,5,800,0.003072,17.59689998626709,17.59689998626709,0.0
186,187,221,7461167020775170949,POSIX,0,write,7,0,9.6e-05,17.596999883651733,17.596999883651733,0.0
187,186,227,7461167020775170949,POSIX,0,close,0,0,0.0,17.596999883651733,17.598400115966797,1.4002323150634766
188,188,172,13529234925354641907,POSIX,0,write,1,2432,0.032768,17.602400064468384,17.602499961853027,0.09989738464355469
189,189,173,13529234925354641907,POSIX,0,write,2,37248,0.032768,17.60260009765625,17.602699995040894,0.09989738464355469
190,190,174,13529234925354641907,POSIX,0,write,3,70016,0.032768,17.602799892425537,17.60290002822876,0.10013580322265625
191,191,175,13529234925354641907,POSIX,0,write,4,102784,0.032768,17.602999925613403,17.603100061416626,0.10013580322265625
192,192,176,13529234925354641907,POSIX,0,write,5,135552,0.032768,17.603300094604492,17.603399991989136,0.09989738464355469
193,193,177,13529234925354641907,POSIX,0,write,6,168320,0.032768,17.60349988937378,17.603600025177002,0.10013580322265625
194,194,178,13529234925354641907,POSIX,0,write,7,201088,0.032768,17.604000091552734,17.604099988937378,0.09989738464355469
