,level_0,index,file_id,api,rank,operation,segment,offset,size,start,end,duration
0,0,41,418707678782925176,POSIX,0,open,0,0,0.0,0.3915998935699463,0.3921999931335449,0.6000995635986328
1,1,40,418707678782925176,POSIX,0,stat,0,0,0.0,0.3940999507904053,0.3940999507904053,0.0
2,2,0,418707678782925176,POSIX,0,write,0,0,9.6e-05,0.39420008659362793,0.39549994468688965,1.2998580932617188
3,3,55,3320158294605273525,POSIX,0,open,0,0,0.0,0.4021000862121582,0.40269994735717773,0.5998611450195312
4,4,54,3320158294605273525,POSIX,0,stat,0,0,0.0,0.40420007705688477,0.40420007705688477,0.0
5,5,43,3320158294605273525,POSIX,0,write,0,0,9.6e-05,0.40420007705688477,0.40560007095336914,1.399993896484375
6,6,51,3320158294605273525,POSIX,0,read,0,4096,0.0,0.40689992904663086,0.40689992904663086,0.0
7,7,44,3320158294605273525,POSIX,0,write,1,4096,0.023232,0.40709996223449707,0.4072000980377197,0.10013580322265625
8,8,52,3320158294605273525,POSIX,0,read,1,27328,0.0,0.4077000617980957,0.40779995918273926,0.09989738464355469
9,9,45,3320158294605273525,POSIX,0,write,2,27328,0.023232,0.4079000949859619,0.40799999237060547,0.09989738464355469
10,10,53,3320158294605273525,POSIX,0,read,2,50560,0.0,0.4084000587463379,0.4084000587463379,0.0
11,11,46,3320158294605273525,POSIX,0,write,3,50560,0.023232,0.4086000919342041,0.4086000919342041,0.0
12,12,47,3320158294605273525,POSIX,0,write,4,96,0.000696,0.4087998867034912,0.4087998867034912,0.0
13,13,48,3320158294605273525,POSIX,0,write,5,800,0.003072,0.40890002250671387,0.40890002250671387,0.0
14,14,49,3320158294605273525,POSIX,0,write,6,0,9.6e-05,0.40890002250671387,0.40890002250671387,0.0
15,15,50,3320158294605273525,POSIX,0,write,7,0,9.6e-05,0.4089999198913574,0.4091000556945801,0.10013580322265625
16,16,56,3320158294605273525,POSIX,0,close,0,0,0.0,0.4091000556945801,0.4103999137878418,1.2998580932617188
17,17,1,418707678782925176,POSIX,0,write,1,2432,0.032768,0.4140000343322754,0.41409993171691895,0.09989738464355469
18,18,2,418707678782925176,POSIX,0,write,2,37248,0.032768,0.4142000675201416,0.41429996490478516,0.09989738464355469
19,19,3,418707678782925176,POSIX,0,write,3,70016,0.032768,0.4144001007080078,0.41449999809265137,0.09989738464355469
20,20,4,418707678782925176,POSIX,0,write,4,102784,0.032768,0.4145998954772949,0.4147000312805176,0.10013580322265625
21,21,5,418707678782925176,POSIX,0,write,5,135552,0.032768,0.41479992866516113,0.4149000644683838,0.10013580322265625
22,22,6,418707678782925176,POSIX,0,write,6,168320,0.032768,0.41499996185302734,0.41510009765625,0.10013580322265625
23,23,7,418707678782925176,POSIX,0,write,7,201088,0.032768,0.415600061416626,0.41569995880126953,0.09989738464355469
24,24,8,418707678782925176,POSIX,0,write,8,235904,0.013824,0.41589999198913574,0.4159998893737793,0.09989738464355469
25,25,9,418707678782925176,POSIX,0,write,9,249728,0.013824,0.41610002517700195,0.4161999225616455,0.09989738464355469
26,26,10,418707678782925176,POSIX,0,write,10,263552,0.013824,0.41630005836486816,0.4163999557495117,0.09989738464355469
27,27,11,418707678782925176,POSIX,0,write,11,277376,0.013824,0.4165000915527344,0.4165000915527344,0.0
28,28,12,418707678782925176,POSIX,0,write,12,293248,0.013824,0.41659998893737793,0.4166998863220215,0.09989738464355469
29,29,13,418707678782925176,POSIX,0,write,13,307072,0.013824,0.41680002212524414,0.4168999195098877,0.09989738464355469
30,30,14,418707678782925176,POSIX,0,write,14,320896,0.013824,0.4170999526977539,0.41720008850097656,0.10013580322265625
31,31,15,418707678782925176,POSIX,0,write,15,336768,0.110592,0.41739988327026367,0.41770005226135254,0.3001689910888672
32,32,16,418707678782925176,POSIX,0,write,16,447360,0.110592,0.4177999496459961,0.4179999828338623,0.20003318786621094
33,33,17,418707678782925176,POSIX,0,write,17,557952,0.110592,0.41810011863708496,0.4184000492095947,0.2999305725097656
34,34,18,418707678782925176,POSIX,0,write,18,668544,0.110592,0.4184999465942383,0.4186999797821045,0.20003318786621094
35,35,19,418707678782925176,POSIX,0,write,19,779136,0.110592,0.41880011558532715,0.4191000461578369,0.2999305725097656
36,36,20,418707678782925176,POSIX,0,write,20,889728,0.110592,0.41919994354248047,0.4193999767303467,0.20003318786621094
37,37,21,418707678782925176,POSIX,0,write,21,1000320,0.110592,0.4205000400543213,0.4207000732421875,0.20003318786621094
38,38,22,418707678782925176,POSIX,0,write,22,1112960,0.681472,0.421799898147583,0.4228999614715576,1.1000633239746094
39,39,23,418707678782925176,POSIX,0,write,23,1794432,0.681472,0.42330002784729004,0.424299955368042,0.9999275207519531
40,40,24,418707678782925176,POSIX,0,write,24,2475904,0.681472,0.4247000217437744,0.42569994926452637,0.9999275207519531
41,41,25,418707678782925176,POSIX,0,write,25,3157376,0.681472,0.4258999824523926,0.4267001152038574,0.8001327514648438
42,42,26,418707678782925176,POSIX,0,write,26,3840896,0.681472,0.4270000457763672,0.42779994010925293,0.7998943328857422
43,43,27,418707678782925176,POSIX,0,write,27,4522368,0.681472,0.4281001091003418,0.42890000343322754,0.7998943328857422
44,44,28,418707678782925176,POSIX,0,write,28,5203840,0.681472,0.4321000576019287,0.43289995193481445,0.7998943328857422
45,45,29,418707678782925176,POSIX,0,write,29,96,0.0014,0.43309998512268066,0.5155000686645508,82.40008354187012
46,46,30,418707678782925176,POSIX,0,write,30,1504,0.000928,0.5155000686645508,0.5155999660491943,0.09989738464355469
47,47,31,418707678782925176,POSIX,0,write,31,35200,0.002016,0.5155999660491943,0.5155999660491943,0.0
48,48,33,418707678782925176,POSIX,0,write,33,291200,0.001392,0.515700101852417,0.5157999992370605,0.09989738464355469
49,49,32,418707678782925176,POSIX,0,write,32,233856,0.00204,0.515700101852417,0.515700101852417,0.0
50,50,36,418707678782925176,POSIX,0,write,36,1110912,0.00196,0.5157999992370605,0.5158998966217041,0.09989738464355469
51,51,35,418707678782925176,POSIX,0,write,35,334720,0.002016,0.5157999992370605,0.5157999992370605,0.0
52,52,34,418707678782925176,POSIX,0,write,34,292680,0.000544,0.5157999992370605,0.5157999992370605,0.0
53,53,38,418707678782925176,POSIX,0,write,38,0,9.6e-05,0.5158998966217041,0.5158998966217041,0.0
54,54,37,418707678782925176,POSIX,0,write,37,3838848,0.002032,0.5158998966217041,0.5158998966217041,0.0
55,56,39,418707678782925176,POSIX,0,write,39,0,9.6e-05,0.5160999298095703,0.5160999298095703,0.0
56,55,42,418707678782925176,POSIX,0,close,0,0,0.0,0.5160999298095703,0.5181000232696533,2.000093460083008
57,57,98,13921824653314321648,POSIX,0,open,0,0,0.0,5.946799993515015,5.947400093078613,0.6000995635986328
58,58,97,13921824653314321648,POSIX,0,stat,0,0,0.0,5.949100017547607,5.949199914932251,0.09989738464355469
59,59,57,13921824653314321648,POSIX,0,write,0,0,9.6e-05,5.949199914932251,5.950700044631958,1.5001296997070312
60,60,112,4038320303294014677,POSIX,0,open,0,0,0.0,5.9572999477386475,5.957900047302246,0.6000995635986328
61,61,111,4038320303294014677,POSIX,0,stat,0,0,0.0,5.959500074386597,5.959500074386597,0.0
62,62,100,4038320303294014677,POSIX,0,write,0,0,9.6e-05,5.959500074386597,5.960900068283081,1.399993896484375
63,63,108,4038320303294014677,POSIX,0,read,0,4096,0.0,5.961400032043457,5.961499929428101,0.09989738464355469
64,64,101,4038320303294014677,POSIX,0,write,1,4096,0.023232,5.961600065231323,5.961699962615967,0.09989738464355469
65,65,109,4038320303294014677,POSIX,0,read,1,27328,0.0,5.962100028991699,5.962100028991699,0.0
66,66,102,4038320303294014677,POSIX,0,write,2,27328,0.023232,5.962300062179565,5.962399959564209,0.09989738464355469
67,67,110,4038320303294014677,POSIX,0,read,2,50560,0.0,5.962699890136719,5.962699890136719,0.0
68,68,103,4038320303294014677,POSIX,0,write,3,50560,0.023232,5.962800025939941,5.962899923324585,0.09989738464355469
69,69,104,4038320303294014677,POSIX,0,write,4,96,0.000696,5.963000059127808,5.963000059127808,0.0
70,70,107,4038320303294014677,POSIX,0,write,7,0,9.6e-05,5.963099956512451,5.963099956512451,0.0
71,71,105,4038320303294014677,POSIX,0,write,5,800,0.003072,5.963099956512451,5.963099956512451,0.0
72,72,106,4038320303294014677,POSIX,0,write,6,0,9.6e-05,5.963099956512451,5.963099956512451,0.0
73,73,113,4038320303294014677,POSIX,0,close,0,0,0.0,5.963200092315674,5.964400053024292,1.199960708618164
74,74,58,13921824653314321648,POSIX,0,write,1,2432,0.032768,5.967900037765503,5.9679999351501465,0.09989738464355469
75,75,59,13921824653314321648,POSIX,0,write,2,37248,0.032768,5.968199968338013,5.968300104141235,0.10013580322265625
76,76,60,13921824653314321648,POSIX,0,write,3,70016,0.032768,5.968400001525879,5.9684998989105225,0.09989738464355469
77,77,61,13921824653314321648,POSIX,0,write,4,102784,0.032768,5.968600034713745,5.968699932098389,0.09989738464355469
78,78,62,13921824653314321648,POSIX,0,write,5,135552,0.032768,5.968800067901611,5.968899965286255,0.09989738464355469
79,79,63,13921824653314321648,POSIX,0,write,6,168320,0.032768,5.9690001010894775,5.969099998474121,0.09989738464355469
80,80,64,13921824653314321648,POSIX,0,write,7,201088,0.032768,5.9695000648498535,5.969599962234497,0.09989738464355469
81,81,65,13921824653314321648,POSIX,0,write,8,235904,0.032768,5.969899892807007,5.9700000286102295,0.10013580322265625
82,82,66,13921824653314321648,POSIX,0,write,9,268672,0.032768,5.970099925994873,5.970200061798096,0.10013580322265625
83,83,67,13921824653314321648,POSIX,0,write,10,301440,0.032768,5.970299959182739,5.970400094985962,0.10013580322265625
84,84,68,13921824653314321648,POSIX,0,write,11,334208,0.032768,5.9704999923706055,5.970599889755249,0.09989738464355469
85,85,69,13921824653314321648,POSIX,0,write,12,369024,0.032768,5.970700025558472,5.970799922943115,0.09989738464355469
86,86,70,13921824653314321648,POSIX,0,write,13,401792,0.032768,5.970900058746338,5.9709999561309814,0.09989738464355469
87,87,71,13921824653314321648,POSIX,0,write,14,434560,0.032768,5.971400022506714,5.971499919891357,0.09989738464355469
88,88,72,13921824653314321648,POSIX,0,write,15,469376,0.110592,5.971800088882446,5.971999883651733,0.19979476928710938
89,89,73,13921824653314321648,POSIX,0,write,16,579968,0.110592,5.972100019454956,5.972399950027466,0.2999305725097656
90,90,74,13921824653314321648,POSIX,0,write,17,690560,0.110592,5.9725000858306885,5.972700119018555,0.20003318786621094
91,91,75,13921824653314321648,POSIX,0,write,18,801152,0.110592,5.972800016403198,5.9730000495910645,0.20003318786621094
92,92,76,13921824653314321648,POSIX,0,write,19,911744,0.110592,5.973200082778931,5.973400115966797,0.20003318786621094
93,93,77,13921824653314321648,POSIX,0,write,20,1022336,0.110592,5.97350001335144,5.973700046539307,0.20003318786621094
94,94,78,13921824653314321648,POSIX,0,write,21,1132928,0.110592,5.974600076675415,5.974800109863281,0.20003318786621094
95,95,79,13921824653314321648,POSIX,0,write,22,1245568,0.512,5.975300073623657,5.976099967956543,0.7998943328857422
96,96,80,13921824653314321648,POSIX,0,write,23,1757568,0.512,5.976399898529053,5.976999998092651,0.6000995635986328
97,97,81,13921824653314321648,POSIX,0,write,24,2269568,0.512,5.977200031280518,5.977799892425537,0.5998611450195312
98,98,82,13921824653314321648,POSIX,0,write,25,2781568,0.512,5.978100061416626,5.9786999225616455,0.5998611450195312
99,99,83,13921824653314321648,POSIX,0,write,26,3295616,0.512,5.979000091552734,5.979599952697754,0.5998611450195312
100,100,84,13921824653314321648,POSIX,0,write,27,3807616,0.512,5.97979998588562,5.980400085449219,0.6000995635986328
101,101,85,13921824653314321648,POSIX,0,write,28,4319616,0.512,5.982500076293945,5.9832000732421875,0.6999969482421875
102,102,86,13921824653314321648,POSIX,0,write,29,96,0.0014,5.983400106430054,6.065500020980835,82.09991455078125
103,103,88,13921824653314321648,POSIX,0,write,31,35200,0.002016,6.065500020980835,6.0655999183654785,0.09989738464355469
104,104,87,13921824653314321648,POSIX,0,write,30,1504,0.000928,6.065500020980835,6.065500020980835,0.0
105,105,89,13921824653314321648,POSIX,0,write,32,233856,0.00204,6.0655999183654785,6.065700054168701,0.10013580322265625
106,106,91,13921824653314321648,POSIX,0,write,34,368456,0.000544,6.065700054168701,6.065700054168701,0.0
107,107,90,13921824653314321648,POSIX,0,write,33,366976,0.001392,6.065700054168701,6.065700054168701,0.0
